id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
377829-2026;2026-06-01T22:00:00.000Z;Deutschland – Brandschutz-Installationsarbeiten – Umbau und Erweiterung Medico Palais Brandschutzvorhänge;Der Magistrat der Stadt Bad Soden am Taunus;Bad Soden am Taunus;42086.36;;45343000;40;https://ted.europa.eu/bg/notice/-/detail/377829-2026
371372-2026;2026-05-31T22:00:00.000Z;Deutschland – Einbau von Fenstern – Fensterarbeiten im Rahmen der Generalsanierung der Grundschule Kordel;Verbandsgemeindeverwaltung Trier-Land;Trier;340196.45;;45421100 45421132 45421130 44221100;80;https://ted.europa.eu/bg/notice/-/detail/371372-2026
373697-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauleistungen im Hochbau – Teilsanierung der Mittelschule Frontenhausen - Schlosserarbeiten außen;Markt Frontenhausen;Frontenhausen;199321;;45223210;80;https://ted.europa.eu/bg/notice/-/detail/373697-2026
374156-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten – Stahlbauarbeiten;Landratsamt Forchheim;Forchheim;1136000;;45223210;80;https://ted.europa.eu/bg/notice/-/detail/374156-2026
374700-2026;2026-05-31T22:00:00.000Z;Deutschland – Baustahlmontagearbeiten für Gebäude – RSA Waldeck, Stahlbauarbeiten;Ministerium für Finanzen und Digitalisierung Mecklenburg-Vorpommern;Schwerin;1146507;;45262410;80;https://ted.europa.eu/bg/notice/-/detail/374700-2026
371077-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – VE 309 - Schlosserarbeiten 1;Deutsches Krebsforschungszentrum Heidelberg;Heidelberg;;;45223210;68;https://ted.europa.eu/bg/notice/-/detail/371077-2026
371779-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauleistungen im Hochbau – KÖN_FA,Neubau Bearbeitungsstelle KÖN;Staatliches Bauamt Schweinfurt;Schweinfurt;;;45421160 45421140 45421141 45421150 45421000;68;https://ted.europa.eu/bg/notice/-/detail/371779-2026
371156-2026;2026-05-31T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Gesamtsanierung Stadthalle Görlitz | Los 24 - Metallbau - Glas -Türen - Trennwand | Offenes Verfahren gemäß § 3 Nr. 1 VOB/A EU;Stadtverwaltung Görlitz;Görlitz;;2026-07-07T06:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/371156-2026
371722-2026;2026-05-31T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Neubau Betriebshof Grünflächen und Forsten, Giebel 46, Wuppertal, Alufenster- und Türen, PR-Fassade, Sonnenschutz;Stadt Wuppertal;Wuppertal;;2026-06-10T07:00:00.000Z;45421100 45421132 45421131 45421143;63;https://ted.europa.eu/bg/notice/-/detail/371722-2026
372979-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten – Los 302: Rohbau-, Erd-, Stahlbeton-, Mauerarbeiten - Neubau Ärztehaus 2.0 in der Hansestraße in Barleben;Zentrale Vergabestelle der Gemeinde Barleben;Barleben;;2026-06-02T08:00:00.000Z;45223210;63;https://ted.europa.eu/bg/notice/-/detail/372979-2026
372983-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – Generalsanierung Mittelschule Marktheidenfeld - Metall-Brandschutz-Türen BT A;Schulverband Mittelschule Marktheidenfeld;Marktheidenfeld;;2026-07-06T08:00:00.000Z;44221000 44221200 45421111 44221220 45421131 45421120 45421000;63;https://ted.europa.eu/bg/notice/-/detail/372983-2026
373130-2026;2026-05-31T22:00:00.000Z;Deutschland – Bau von Anlandevorrichtungen – Grundinstandsetzung Hellinganlage am Bauhof Würzburg;WSA Main Standort Schweinfurt;Würzburg;;2026-07-06T08:59:00.000Z;45223210;63;https://ted.europa.eu/bg/notice/-/detail/373130-2026
373333-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – B62 TB Rinsenau, Herstellung DB Schutzgerüst;Landesbetrieb Straßenbau NRW - Regionalniederlassung Südwestfalen;Netphen;;2026-07-07T08:30:00.000Z;45223210;63;https://ted.europa.eu/bg/notice/-/detail/373333-2026
373721-2026;2026-05-31T22:00:00.000Z;Deutschland – Metallbauarbeiten – Metallbau_Fenster_Außentüren;Sprinkenhof GmbH;Hamburg;;2026-07-10T10:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/373721-2026
373739-2026;2026-05-31T22:00:00.000Z;Deutschland – Bautischlerarbeiten – Leistungen für Innentüren und Innenfenster in der Arche-Noah-Schule;Diakonisches Werk der Evang. Luth. Dekanatsbezirke Bad Windsheim, Markt Einersheim, Neustadt/Aisch und Uffenheim e.V.;Neustadt / Aisch;;2026-06-12T09:00:00.000Z;45421100 45421000;63;https://ted.europa.eu/bg/notice/-/detail/373739-2026
373806-2026;2026-05-31T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Gemeinde Gägelow: Erweiterung Regionale Schule mit Grundschule Proseken - Los 07 Fenster & Sonnenschutz;Stadt Grevesmühlen;Grevesmühlen;;2026-06-30T07:15:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/373806-2026
373823-2026;2026-05-31T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Arbeiten – Verlängerung Obenholt: Bepflanzung;Samtgemeinde Emlichheim;Emlichheim;;2026-06-30T10:00:00.000Z;45340000;63;https://ted.europa.eu/bg/notice/-/detail/373823-2026
374168-2026;2026-05-31T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – Generalsanierung Mittelschule Marktheidenfeld - Tischlerarbeiten/ Innentüren BT A;Schulverband Mittelschule Marktheidenfeld;Marktheidenfeld;;2026-07-06T08:00:00.000Z;44221000 44221200 45421111 45421131 45421120 45421000;63;https://ted.europa.eu/bg/notice/-/detail/374168-2026
374747-2026;2026-05-31T22:00:00.000Z;Deutschland – Metallbauarbeiten – EKO / Umbau und Erweiterung Haus F: LM-Fenster-, Tür- und Rollladenanlagen 2.BA;Evangelisches Krankenhaus Oberhausen GmbH;Oberhausen;;2026-06-03T10:00:00.000Z;44221000 45421145;63;https://ted.europa.eu/bg/notice/-/detail/374747-2026
371210-2026;2026-05-31T22:00:00.000Z;Deutschland – Installation von Sprinkleranlagen – Feuerlöschanlagen 70-00001-2040-404;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.;München;983125.68;;45343230;60;https://ted.europa.eu/bg/notice/-/detail/371210-2026
371496-2026;2026-05-31T22:00:00.000Z;Deutschland – Installation von Feuerlöschanlagen – Württ. Landesbibliothek, Umstrukturierung/ Sanierung Bestand/ 2.+3. BA KG 474 LV Feuerlöschanlage (Sprinkleranlage) / HDWN-Löschanlage 2;Vermögen und Bau Baden-Württemberg, Amt Stuttgart;Stuttgart;1574224.95;;45343200;60;https://ted.europa.eu/bg/notice/-/detail/371496-2026
373019-2026;2026-05-31T22:00:00.000Z;Deutschland – Bautischlerarbeiten – Gemeinde Rottach-Egern - Möblierung;Gemeinde Rottach-Egern;Rottach-Egern;167547.66;;45421000 45421153;60;https://ted.europa.eu/bg/notice/-/detail/373019-2026
