id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
488334-2026;2026-07-14T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Rahmenvereinbarung zur Pflege der Außenanlagen im Stadtgebiet Hamm;Stadt Hamm, Bauverwaltungsamt, Zentrales Beschaffungsmanagement;Hamm;;2026-07-15T04:00:00.000Z;77310000 77312000 77313000;63;https://ted.europa.eu/bg/notice/-/detail/488334-2026
487615-2026;2026-07-14T22:00:00.000Z;Deutschland – Dachabdichtungs- und -dämmarbeiten – Dachabdichtung;Handwerkskammer Ostwestfalen-Lippe zu Bielefeld;Bielefeld;1896859.33;;45112713;60;https://ted.europa.eu/bg/notice/-/detail/487615-2026
489924-2026;2026-07-14T22:00:00.000Z;Deutschland – Baumpflege – Baumpflegearbeiten, Rahmenvereinbarung;Stadt Fürth;Fürth;41159.4;;77211500;60;https://ted.europa.eu/bg/notice/-/detail/489924-2026
487036-2026;2026-07-13T22:00:00.000Z;Deutschland – Baumpflege – Jährliche Baumpflegearbeiten im Stadtgebiet und den Teilortsgemeinden (Rahmenvereinbarung);Stadt Rotenburg (Wümme);Rotenburg (Wümme);352856;2026-08-12T08:00:00.000Z;77211500;95;https://ted.europa.eu/bg/notice/-/detail/487036-2026
483867-2026;2026-07-13T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – Wirtschaftshof und Zufahrt West;Klinikverbund Südwest gGmbH im Namen und auf Rechnung für den Eigenbetrieb Gebäudemanagement des Landkreises Böblingen;Böblingen;;2026-08-13T08:30:00.000Z;45112710;83;https://ted.europa.eu/bg/notice/-/detail/483867-2026
486863-2026;2026-07-13T22:00:00.000Z;Deutschland – Reinigung und Sanierung des städtischen und ländlichen Raumes, und zugehörige Dienstleistungen – Gehölzschnitt 2026-2030;Vergabe und Beschaffungszentrum Dortmund;Dortmund;;2026-08-13T18:00:00.000Z;45112710 77300000 77340000 45112700 45112711;83;https://ted.europa.eu/bg/notice/-/detail/486863-2026
487055-2026;2026-07-13T22:00:00.000Z;Deutschland – Bau von Grundschulen – Neubau einer zweizügigen Grundschule mit Hort und Einfeldsporthalle Los100 Außenanlagen;Gemeinde Neukirchen im Erzgebirge;Neukirchen / Erzgebirge;;2026-08-13T08:00:00.000Z;45112710;83;https://ted.europa.eu/bg/notice/-/detail/487055-2026
486592-2026;2026-07-13T22:00:00.000Z;Deutschland – Grundstückspflege – Pflege Außenanlage Sennfeld;Berufsgenossenschaft Holz und Metall;Mainz;192000;;77314000 77310000 77313000 77312000;80;https://ted.europa.eu/bg/notice/-/detail/486592-2026
484537-2026;2026-07-13T22:00:00.000Z;Deutschland – Bau von Konstruktionen und baulichen Anlagen – Nationales Hockey-Trainingszentrum Kaltlufthalle - Hallenbauwerk - VE3-03;EWMG – Entwicklungsgesellschaft der Stadt Mönchengladbach mbH;Mönchengladbach;;2026-08-03T09:00:00.000Z;45112713;48;https://ted.europa.eu/bg/notice/-/detail/484537-2026
480911-2026;2026-07-12T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Pflege von öffentlichen Grünanlagen und Spielplätzen der Stadt Bernau bei Berlin;Stadt Bernau bei Berlin;Bernau bei Berlin;;2026-08-13T08:00:00.000Z;77310000;83;https://ted.europa.eu/bg/notice/-/detail/480911-2026
