id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
497630-2026;;Deutschland – Gebäudereinigung – Neubau GemS Neunkirchen - Gebäudereinigung;Landkreis Neunkirchen;Ottweiler;442104.76;;90911200 90911300 90919300;80;https://ted.europa.eu/bg/notice/-/detail/497630-2026
498167-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – 8/2010/S0631 - Gebäudereinigung Standort Bückeburg;Bundeswehr-Dienstleistungszentrum Wunstorf;Wunstorf;3600309.55;;90911000 90911200 90911100 90919200 90910000;80;https://ted.europa.eu/bg/notice/-/detail/498167-2026
498336-2026;;Deutschland – Gebäudereinigung – Gebäudereinigung Finanzamt Karlsruhe-Durlach;Vermögen und Bau Baden-Württemberg, Amt Karlsruhe;Karlsruhe;343195.46;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/498336-2026
499915-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung 2026-2028 Waldcampus, FBG und Sonnenvillla;Hochschule für nachhaltige Entwicklung Eberswalde;Eberswalde;579270.77;;90911200 90910000;80;https://ted.europa.eu/bg/notice/-/detail/499915-2026
501810-2026;;Deutschland – Reinigungsdienste – Offenes Verfahren (EU-weit) zur Vergabe von Dachrinnenreinigung in diversen Liegenschaften in Bremen und Niedersachsen Bundesanstalt für Immobilienaufgaben Wohnen, Kundencenter Hannover VOEK 545-24;Bundesanstalt für Immobilienaufgaben;Bonn;392058.24;;90910000;80;https://ted.europa.eu/bg/notice/-/detail/501810-2026
502199-2026;;Deutschland – Gebäudereinigung – Gebäudereinigung im Emilie-Wüstenfeld-Gymnasium, Bundesstraße 78, Gustav-Falke-Straße 21, 20144 Hamburg ab dem 15.09.2026 unbefristet;BVC Behörde für Finanzen und Bezirke;Hamburg;163856.92;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/502199-2026
502315-2026;;Deutschland – Gebäudereinigung – Unterhalts-, Grund- und Sonderreinigung HGT;Landkreis Traunstein;Traunstein;107289.97;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/502315-2026
505524-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Reinigungsdienstleistungen im Elbauenpark, in Veranstaltungshäusern und in Verwaltungsgebäuden der Messe- und Veranstaltungsgesellschaft Magdeburg GmbH sowie der Natur- und Kulturpark Elbaue GmbH;Messe- und Veranstaltungsgesellschaft Magdeburg GmbH;Magdeburg;150371.16;;90911000 90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/505524-2026
506326-2026;;Deutschland – Gebäudereinigung – Reinigungsleistungen;Fachhochschule Dortmund;Dortmund;599712.66;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/506326-2026
507051-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung am LZH;Laser Zentrum Hannover e.V.;Hannover;420000;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/507051-2026
510553-2026;;Deutschland – Gebäudereinigung – Unterhalts- und Grundreinigung an den Sporthallen Liebigschule, Theodor-Litt-Schule und Sporthalle Gießen-Wieseck - Jahresvertrag -;Magistrat der Universitätsstadt Gießen - Haupt- und Personalamt -;Gießen;337073;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/510553-2026
512113-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Umweltfreundliche Glas-, Jalousie- und Unterhaltsreinigung in Liegenschaften des Deutschen Bundestages;Deutscher Bundestag - Vergabereferat;Berlin;4188064.72;;90911000 90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/512113-2026
512514-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Reinigungsleistungen AG Grimma, Staatsanwaltschaft Leipzig Ast. Grimma, Sozialer Dienst LG Leipzig;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;394407.12;;90911000;80;https://ted.europa.eu/bg/notice/-/detail/512514-2026
514638-2026;;Deutschland – Gebäudereinigung – Vergabe Unterhaltsreinigung;Staatstheater am Gärtnerplatz;München;2227319.55;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/514638-2026
432170-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung in der Bayerischen Staatskanzlei;Bayerische Staatskanzlei;München;1900000;2026-07-15T10:00:00.000Z;90911200;75;https://ted.europa.eu/bg/notice/-/detail/432170-2026
443077-2026;;Deutschland – Gebäudereinigung – Sundern Gebäudereinigung;Stadt Sundern ( Sauerland);Sundern;1;2026-08-19T08:00:00.000Z;90911200 90911000 90910000 90919200 90919100 90919000 90911300 90919300;75;https://ted.europa.eu/bg/notice/-/detail/443077-2026
452390-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung in der Bayerischen Staatskanzlei;Bayerische Staatskanzlei;München;1900000;2026-07-15T10:00:00.000Z;90911200;75;https://ted.europa.eu/bg/notice/-/detail/452390-2026
458305-2026;;Deutschland – Gebäudereinigung – Unterhalts- und Glasreinigung für die Justizgebäude Strafjustizgebäude Gögginger Str. 101, Edisonstr. 7 und Depotstr. 5 in Augsburg;Freistaat Bayern, vertreten durch den Präsidenten des Landgerichts Augsburg;Augsburg;0;2026-08-19T09:00:00.000Z;90911200 90911300;75;https://ted.europa.eu/bg/notice/-/detail/458305-2026
